Titel,Jahr,Authoren,ISBN,ISSN,DOI,Journal,Monat,Issue,Nummer,URL,Gruppen,
Transactions for trading used electric vehicle batteries: theoretical underpinning and information systems design principles,2020,"Sebastian Bräuer, Florian Plenter, Benjamin Klör, Markus Monhof, Daniel Beverungen, Jörg Becker",,2198-2627,10.1007/s40685-019-0091-9,Business Research,April,,1,https://doi.org/10.1007/s40685-019-0091-9,NOK1,
Personal control of privacy and data: {Estonian} experience,2017,"Jaan Priisalu, Rain Ottis",,2190-7196,10.1007/s12553-017-0195-1,Health and Technology,December,,4,https://doi.org/10.1007/s12553-017-0195-1,NOK1,
Notaries and digitalisation of company law,2018,José Llopis Benlloch,,1863-9038,10.1007/s12027-018-0499-2,ERA Forum,August,,1,https://doi.org/10.1007/s12027-018-0499-2,NOK1,
From the {Internet} of {Things} to the {Social} {Innovation} and the {Economy} of {Data},2020,"Luis Sánchez, Jorge Lanza, Luis Muñoz",,1572-834X,10.1007/s11277-020-07321-2,Wireless Personal Communications,August,,3,https://doi.org/10.1007/s11277-020-07321-2,NOK1,
"When artificial intelligence meets building energy efficiency, a review focusing on zero energy building",2020,"Biao Yan, Fei Hao, Xi Meng",,1573-7462,10.1007/s10462-020-09902-w,Artificial Intelligence Review,September,,,https://doi.org/10.1007/s10462-020-09902-w,NOK1,
Ubiquitous {Health} {Profile} ({UHPr}): a big data curation platform for supporting health data interoperability,2020,"Fahad Satti, Taqdir Ali, Jamil Hussain, Wajahat Khan, Asad Khattak, Sungyoung Lee",,1436-5057,10.1007/s00607-020-00837-2,Computing,November,,11,https://doi.org/10.1007/s00607-020-00837-2,NOK1,
Reflections upon periclitations in privacy: perspectives from {Rwanda}’s digital transformation,2017,Jean Nsengimana,,2190-7196,10.1007/s12553-017-0196-0,Health and Technology,December,,4,https://doi.org/10.1007/s12553-017-0196-0,NOK1,
Towards an {Access} {Regime} for {Mobility} {Data},2020,Peter Picht,,2195-0237,10.1007/s40319-020-00974-3,IIC - International Review of Intellectual Property and Competition Law,October,,8,https://doi.org/10.1007/s40319-020-00974-3,NOK1,
The {Data} {Sharing} {Economy}: {On} the {Emergence} of {New} {Intermediaries},2019,"Heiko Richter, Peter Slowinski",,2195-0237,10.1007/s40319-018-00777-7,IIC - International Review of Intellectual Property and Competition Law,January,,1,https://doi.org/10.1007/s40319-018-00777-7,"OK1, NOK2",
Formalizing {GDPR} {Provisions} in {Reified} {I}/{O} {Logic}: {The} {DAPRECO} {Knowledge} {Base},2020,"Livio Robaldo, Cesare Bartolini, Monica Palmirani, Arianna Rossi, Michele Martoni, Gabriele Lenzini",,1572-9583,10.1007/s10849-019-09309-z,"Journal of Logic, Language and Information",December,,4,https://doi.org/10.1007/s10849-019-09309-z,NOK1,
The digital agenda of virtual currencies: {Can} {BitCoin} become a global currency?,2016,"Pavel Ciaian, Miroslava Rajcaniova, d’Artis Kancs",,1617-9854,10.1007/s10257-016-0304-0,Information Systems and e-Business Management,November,,4,https://doi.org/10.1007/s10257-016-0304-0,NOK1,
